audit_id,domain,capability,industry_standard_baseline,current_implementation,evidence_level,evidence_paths,status,priority,risk_if_omitted,effort,implementation_mode,recommended_decision,business_input_required,production_access_required,reusable_for_future_projects,notes
PAY-006,Payments,Payment recording and reconciliation,Staff record receipts against invoices; ageing and collection views,"payments, credit_notes, collection_flags tables plus Payments/Collection/Statements admin screens; written through the generic /admin/sync",E1,"platform/server/api/src/shape.js:67-87,js/pages_finance.js:5,120,228,297",PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,M,repository implementation,"Give payments and credit notes dedicated, audited endpoints rather than the generic row-sync, so a receipt cannot be silently rewritten and every change is attributable",no,no,reusable after extraction,Generic sync means any admin or warehouse login can rewrite a payment record with no audit trail of the prior value
PAY-007,Payments,Refunds,Refund or credit note against an invoice,"credit_notes table and screen; no refund workflow, no provider refund",E1,"platform/server/db/migrations/0001_schema.sql:260,js/pages_finance.js",PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,M,repository implementation,"Credit notes remain the correct instrument for net-terms settlement. The approved Stripe decision adds a second case: an invoice settled through Stripe needs a provider refund path, reconciled back to the credit note and confirmed by webhook. Formalise issue/approve/apply as audited endpoints covering both",no,no,reusable after extraction,Reclassified 2026-08-06 from P3. Previously 'no card refund is required because no card payment is taken' — that premise no longer holds
PAY-008,Payments,Statement send to customer,Statements emailed or downloadable,'Send to Customer' raises a toast; no server call,E1,js/pages_finance.js:363-377,PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,S,repository implementation,Wire to the existing sendMail path or remove the control. A button that appears to send and does not is worse than no button,no,no,reusable after extraction,Confirmed still a stub at HEAD
PAY-014,Payments,Account credit limits and order-time credit checking,"B2B accounts carry a credit ceiling that is enforced, not merely displayed","credit_limit is capability-gated (finance.credit_limit), audited with previous and new value, and consulted server-side at order time against a defined exposure: the net ledger balance plus committed but not-yet-invoiced orders. NULL means NOT CONFIGURED, never unlimited and never zero. An over-limit order is flagged for review, not rejected",E1,"platform/server/api/src/credit.js,routes/admin-credit.js,db/migrations/0018,test/commercial-credit.test.js",COMPLETE — REAL LIMITS AND CAPABILITY GRANTS OUTSTANDING,P0,high,—,supervised business decision,"Grant finance.credit_limit and finance.credit_review to the right people, then assign real limits",yes,no,reusable now,"Every account reads NULL; no numerical limits were invented. The approval workflow was completed in a later run - see PAY-015. Orders awaiting one are orders.credit_review is not null. 23 regressions injected, 22 caught; the 23rd was a semantic no-op. See 46_COMMERCIAL_CREDIT_AND_PRIVACY.md"
PAY-015,Payments,Credit review approval workflow and admin credit UI,"Staff can maintain credit limits and resolve orders held above them, under audit","Finance > Credit Reviews queue with approve/decline behind finance.credit_review - a SEPARATE capability from finance.credit_limit, because approving one order must never imply raising the ceiling. Admin credit screen on Collection & Debt. Both decisions need a reason, are written in one transaction with append-only audit evidence, and the original submission snapshot is preserved rather than overwritten",E1,"platform/server/api/src/routes/admin-credit.js,src/credit.js,db/migrations/0019,js/pages_finance.js,test/credit-operations.test.js",COMPLETE — CAPABILITY GRANTS OUTSTANDING,P0,high,—,supervised capability grant,"Grant finance.credit_review to whoever may approve an over-limit order. Nobody holds it, so the queue is unusable until then - deliberately",yes,no,reusable now,"Approving an exception NEVER changes users.credit_limit: the route issues no update to users, the response says creditLimitChanged:false, and a tamper adding the write is caught. An unapproved order cannot leave pending for fulfilment NOR be invoiced - both book the exposure the review exists to control. 25 regressions injected, 25 caught; four of the five that survived a first pass revealed real assertion gaps, which were fixed. See 47_CREDIT_OPERATIONS.md"
AUTH-001,Auth,Login / logout / session lifecycle,"Short access token, refresh rotation, httpOnly cookies","JWT access 30m + refresh 30d, httpOnly, sameSite lax, refresh_tokens table with hashes",E1,"platform/server/api/src/authmw.js:8-31,platform/server/api/src/routes/auth.js",COMPLETE,P2,low,—,no action,No change,no,no,reusable now,Refresh tokens stored hashed
AUTH-002,Auth,Secure cookie flag derivation,Secure flag set from a deliberate deployment setting,Derived from PUBLIC_URL scheme: /^https:/i.test(process.env.PUBLIC_URL),E1,platform/server/api/src/authmw.js:11-12,COMPLETE,P2,low,XS,repository implementation,"Drive the Secure flag from an explicit COOKIE_SECURE variable defaulting to true in production. The R-01 cutover changes what PUBLIC_URL refers to, and repointing or unsetting it silently drops Secure from the auth cookies with no error",no,no,reusable now,"CLOSED 2026-08-06 (Security Hardening Phase 1). Cookie security now comes from src/origins.js with an explicit COOKIE_SECURE defaulting to secure in production; PUBLIC_URL cannot affect it, and a test drives six values of it including one repointed at the public site. See 34_SECURITY_HARDENING.md §2"
AUTH-003,Auth,Password set and reset,Emailed one-time link or code with expiry,"forgot-password with 6-digit OTP, otp_codes table, 30m purpose-scoped JWT, set-password link",E1,"platform/server/api/src/routes/auth.js:66-119,platform/server/api/src/authmw.js:96",COMPLETE,P2,low,—,no action,No change,no,no,reusable now,3-day set-password token; 30m reset token
AUTH-004,Auth,Brute-force and credential-stuffing protection,Rate limit or progressive delay on authentication,"Absent. No attempt counter, no lockout, no delay, no rate limit on /auth/login",E4,platform/server/api/src/routes/auth.js (targeted search for attempt/lock/throttle/limit),COMPLETE,P2,low,S,repository implementation,"Add per-identifier and per-IP throttling with exponential backoff on failed authentication, plus an audit_log entry on lockout. This is the single most exposed unauthenticated surface in the platform",no,no,reusable now,CLOSED 2026-08-06 (Phase 2). Bounded per-client and per-account limits on all seven sensitive endpoints. The two OTP verifiers get the strictest policy: they were a six-digit code with no attempt limit at all. See 34 §4
AUTH-005,Auth,Disabled and pending accounts,A non-active account cannot authenticate or resolve authority,requireAuth rejects non-active users; getUserPermissions re-checks u.status='active',E1,platform/server/api/src/permissions.js:35-47,COMPLETE,P2,low,—,no action,No change,no,no,reusable now,Capability resolution independently re-checks account status
AUTH-006,Auth,Broad roles,A small closed role set for coarse separation,"6 roles: customer, special customer, agent, super-agent, warehouse, admin",E1,"platform/server/db/migrations/0001_schema.sql:25,js/pages_permissions.js",COMPLETE,P3,low,—,no action,No change,no,no,reusable now,Roles remain for the portal and fulfilment; capabilities govern the public-content and enquiry surfaces
AUTH-007,Auth,Account-specific capabilities,"Least-privilege, per-account grants separate from roles","6 capability keys, frozen registry, DB CHECK, no wildcard, no role fallback, revoke-in-place with attribution",E1,"platform/server/api/src/permission-registry.js,permissions.js,db/migrations/0008,0009",COMPLETE,P1,low,—,no action,Best-in-class in this repository. No change,no,no,reusable now,"Four independent enforcement layers: DB CHECK, registry, API validation, resolution filter"
AUTH-008,Auth,Capability bootstrap,"A documented, reviewed first grant",Documented procedure; deliberately not automated; NOT PERFORMED — no account holds any capability,E1,"docs/.../19_ACCOUNT_PERMISSION_SYSTEM.md#8, no INSERT in 0008 or 0009",REQUIRES PRODUCTION CREDENTIALS OR ACCESS,P0,critical,XS,supervised real-data operation,Perform the bootstrap during RC deployment. Until it is done every governed admin screen is unreachable by every account including existing administrators,yes,yes,reusable now,"Gates AUTH-009, CMS-*, ENQ-005 and every publication action"
AUTH-009,Auth,Initial account archetypes and capability allocation,Documented archetypes so grants are consistent and reviewable,Absent. No recommended allocation exists in the repository,E4,targeted search of docs/public-website-rebuild for archetype/allocation,MISSING — IMPLEMENT BEFORE HANDOFF,P1,moderate,XS,documentation/runbook,"Document four archetypes: Content Reviewer (public_content.view), Content Editor (view+edit), Publisher (view+edit+publish), Enquiry Handler (enquiries.view+manage), Permission Administrator (permissions.manage, at least two holders). Assign no real accounts",yes,no,reusable now,Documentation only; the actual grants are a business decision
AUTH-010,Auth,Final-manager protection,The last permissions administrator cannot be removed,Enforced inside the transaction against a live count,E1,platform/server/api/src/routes/account-permissions.js:180-191,COMPLETE,P2,low,—,no action,No change,no,no,reusable now,Prevents a self-inflicted lockout with no recovery path
AUTH-011,Auth,Access review,Periodic review of who holds what,"Absent. No review date, no report, no export of current grants",E4,targeted search of account-permissions.js and js/pages_permissions.js,DEFERRED — ACCEPTABLE POST-HANDOFF,P3,low,S,repository implementation,"Add a read-only 'who holds what' report. Low urgency at current scale (six capabilities, a handful of staff)",no,no,reusable after extraction,—
AUTH-012,Auth,Shared-account risk,"One human per login, no shared credentials",Not enforceable technically; no concurrent-session limit or device register,E3,inferred from users table and refresh_tokens,REQUIRES BUSINESS INPUT,P3,moderate,XS,documentation/runbook,State the one-human-per-login expectation in the runbook. Attribution in audit_log is only as good as this,yes,no,not applicable,—
PUB-001,Public website,Home page,"Positioning, brand proof, primary calls to action",SKELETON — carries the development placeholder notice,E1,platform/server/web/src/pages/index.astro,REQUIRES BUSINESS INPUT,P0,critical,M,business decision,"Approved copy and imagery required. The route, layout, metadata and navigation are built and tested; only the content is missing",yes,no,not applicable,The home page of a public site cannot launch as a placeholder
PUB-002,Public website,Why Veyora,Company positioning,SKELETON,E1,platform/server/web/src/pages/why-veyora/index.astro,REQUIRES BUSINESS INPUT,P0,high,S,business decision,Approved copy required,yes,no,not applicable,—
PUB-003,Public website,Brands index and brand detail,Brand discovery from real records,REAL — data-driven from /public/brands,E1,"platform/server/web/src/pages/brands/,platform/server/api/src/routes/public.js:369-394",COMPLETE — RC VERIFICATION REQUIRED,P1,moderate,—,supervised real-data operation,Verify against published brand records once CAT-002 is done,no,yes,reusable after extraction,Renders correctly against fixtures; no published row exists yet
PUB-004,Public website,Collections index / category / model detail,Catalogue browsing and model pages,"REAL — data-driven, with filters, facets and pagination",E1,"platform/server/web/src/pages/collections/,public.js:395-433",COMPLETE — RC VERIFICATION REQUIRED,P1,moderate,—,supervised real-data operation,Verify against published models,no,yes,reusable after extraction,—
PUB-005,Public website,Service model / Private label,Service proposition pages,SKELETON (both),E1,"platform/server/web/src/pages/service-model/,private-label/",REQUIRES BUSINESS INPUT,P1,high,S,business decision,Approved copy required,yes,no,not applicable,—
PUB-006,Public website,Global presence,Where the company operates,REAL — data-driven from /public/locations,E1,"platform/server/web/src/pages/global-presence/index.astro,public.js:434",COMPLETE — RC VERIFICATION REQUIRED,P2,moderate,—,supervised real-data operation,Needs real location rows,no,yes,reusable after extraction,—
PUB-007,Public website,Resources index and detail,Editorial/downloadable resources,"SKELETON, and no /public/resources endpoint exists to feed it",E1,"platform/server/web/src/pages/resources/,public.js (no resources route)",REQUIRES BUSINESS INPUT,P2,moderate,M,business decision,"Decide whether resources ship at launch. If yes this needs both content and a new public endpoint; if no, remove the routes rather than shipping empty pages",yes,no,not applicable,One of the few places where the route exists but the data surface does not
PUB-008,Public website,Contact / Request B2B Account / Private Label Enquiry,Working enquiry forms with validation and consent,"REAL — three forms, validated, honeypot, consent versioning, durable storage",E1,"platform/server/web/src/pages/contact/,request-b2b-account/,private-label-enquiry/,api/src/public-forms.js",COMPLETE — RC VERIFICATION REQUIRED,P0,high,—,supervised deployment,HTTPS smoke test through real Caddy is still required,no,yes,reusable after extraction,"CSRF verified through a proxy reproducing Caddy's header contract, not through Caddy itself"
PUB-009,Public website,Shipping / Warranty and exchanges / Ordering guide,Policy and process pages,SKELETON (all three),E1,"platform/server/web/src/pages/shipping/,warranty-and-exchanges/,ordering-guide/",REQUIRES BUSINESS INPUT,P1,high,S,business decision,Approved policy text required,yes,no,not applicable,"These make commercial commitments; they must be approved, not drafted by engineering"
PUB-010,Public website,Privacy policy and Terms,Binding legal text,SKELETON (both),E1,"platform/server/web/src/pages/privacy-policy/,terms/",REQUIRES LEGAL OR PRIVACY APPROVAL,P0,critical,S,business decision,Legally binding text must be supplied and approved by the business's legal adviser. Engineering must not draft it,yes,no,not applicable,A public site that collects personal data through three forms cannot launch without a privacy policy
PUB-011,Public website,Accessibility statement,A published accessibility position,SKELETON — while the site has three known WCAG findings,E1,"platform/server/web/src/pages/accessibility/index.astro,docs/.../29#5",REQUIRES BUSINESS INPUT,P1,high,XS,business decision,Must state the real conformance position. Publishing a claim that contradicts ACC-002/003/004 would be worse than publishing nothing,yes,no,not applicable,—
PUB-012,Public website,HTML sitemap page,Human-readable index of the site,"SKELETON, although sitemap.xml is real",E1,platform/server/web/src/pages/sitemap/index.astro vs sitemap.xml.ts,PARTIAL — IMPLEMENT BEFORE HANDOFF,P3,low,XS,repository implementation,"Generate the HTML sitemap from the same source as sitemap.xml, or remove the route",no,no,reusable after extraction,—
PUB-013,Public website,Error pages,Real 404 and 500 with correct status and metadata,REAL — Astro owns the catch-all so 404 is a true 404,E1,"platform/server/web/src/pages/404.astro,500.astro,docs/.../26#2",COMPLETE,P1,low,—,no action,No change,no,no,reusable after extraction,Avoiding the SPA-shell-200 failure mode is risk R-02
PUB-014,Public website,Legacy URL redirects and portal handoff,Old URLs continue to resolve,Legacy hash bridge and redirects implemented and tested,E1,"platform/server/web/test/legacy-hash-bridge.test.ts,redirects.test.ts",COMPLETE — RC VERIFICATION REQUIRED,P0,high,S,supervised deployment,Verify against the real legacy URL inventory at cutover. R-01's link fallbacks (SEC-004) must be fixed first,no,yes,reusable after extraction,—
CAT-001,Catalogue,Public / authenticated catalogue boundary,Public sees no price and no availability,Enforced by a pure allowlist serializer and a central forbidden-key scanner,E1,"platform/server/api/src/public-serialize.js,public-forbidden-keys.js",COMPLETE,P0,low,—,no action,No change,no,no,reusable now,Proven against adversarial fixtures at four surfaces; never against a real row (QA-006)
CAT-002,Catalogue,Publication controls,Draft/verify/approve/publish with a gate,Full governance lifecycle with a publication gate and content_approvals,E1,"platform/server/api/src/publication-gate.js,routes/admin-public-content.js",COMPLETE,P1,low,—,no action,No change,no,no,reusable now,Gated on AUTH-008; nobody can currently use it
CAT-003,Catalogue,Catalogue backfill,Existing products mapped to public records,Deterministic audit → review → plan chain built and tested; NOT RUN against real data,E1,"platform/server/api/src/catalogue-audit/,scripts/audit-public-catalogue.js",REQUIRES PRODUCTION CREDENTIALS OR ACCESS,P0,critical,L,supervised real-data operation,"Run the export, audit and review, then apply through the governed API. Nothing can be published until this is done",yes,yes,reusable now,The planner deliberately never emits executable SQL
CAT-004,Catalogue,Brand mapping,Products grouped under the correct public brand,Category-preferred mapping with a documented Zoho brand-column defect,E1,"platform/server/api/src/catalogue-audit/brand-mapping.js,routes/catalog.js (on the storefront branch)",PRESENT ON ANOTHER BRANCH ONLY,P1,moderate,S,supervised real-data operation,The improved chip precedence is on feat/storefront-catalog-ux-and-homepage and is not in this release candidate. Validate against real catalogue data before merging,yes,no,reusable after extraction,See docs/.../30 §4.3
CAT-005,Catalogue,Product slugs and slug-change protection,Stable public URLs with redirects on change,public_slug plus a redirect-recording trigger,E1,"platform/server/db/migrations/0007_public_site.sql,docs/.../14#7",COMPLETE,P1,low,—,no action,No change,no,no,reusable after extraction,—
CAT-006,Catalogue,Model / variation / colourway model,Model with colour variations and swatches,"variations with color, color_code, swatch_media_id, independent is_published",E1,"platform/server/db/migrations/0001_schema.sql:85,0007_public_site.sql",COMPLETE,P2,low,—,no action,No change,no,no,reusable now,—
CAT-007,Catalogue,Filters / facets / pagination / sorting,Server-driven filtering with facet counts,Public facets endpoint plus filter UI; authenticated catalogue filters in JS over the full set,E1,"public.js:421,platform/server/web/test/catalogue-filters.test.ts,routes/catalog.js:87-135",PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,M,repository implementation,Public side is server-driven and correct. The authenticated catalogue loads all ~1000 products and filters in JS; move to SQL filtering before the catalogue grows,no,no,reusable after extraction,"Acceptable at 996 products, not at scale"
CAT-008,Catalogue,Search,"Text search across model, SKU, colour",Implemented on the authenticated catalogue; no public search,E1,platform/server/api/src/routes/catalog.js:175-185,PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,M,repository implementation,Add public catalogue search. A public catalogue without search is below baseline for a discovery site,no,no,reusable after extraction,—
CAT-009,Catalogue,Empty and failure states,"Honest empty and error states, never a blank page",Implemented and tested on both surfaces,E1,"platform/server/web/test/public-render.test.ts,docs/.../17#7",COMPLETE,P2,low,—,no action,No change,no,no,reusable after extraction,—
CAT-010,Catalogue,Discontinued and replacement products,Discontinued models point at a successor,"is_discontinued and replacement_product_id, enforced by the publication gate",E1,"platform/server/db/migrations/0007_public_site.sql,publication-gate.js",COMPLETE,P2,low,—,no action,No change,no,no,reusable after extraction,—
CAT-011,Catalogue,Related products,Cross-sell or same-brand suggestions on a model page,Absent,E4,targeted search of collections/[brand]/[model]/index.astro,DEFERRED — ACCEPTABLE POST-HANDOFF,P3,low,S,repository implementation,Nice to have for SEO internal linking; not launch-critical,no,no,reusable after extraction,—
CAT-012,Catalogue,Shared / curated frame lists,A rep can share a curated selection,shared_lists table and portal route; deliberately stays on the portal host,E1,"platform/server/api/src/routes/catalog.js:284-373,db/migrations/0001_schema.sql:460",COMPLETE,P2,moderate,—,no action,"No change, but see SEC-004: the list URL base is an R-01 blocker",no,no,reusable after extraction,—
PRC-001,Pricing,Customer-specific pricing,"Per-customer price by SKU, brand, cart or tier",Four modes implemented and applied at catalogue and checkout,E1,"js/data.js priceForCustomer,platform/server/api/src/pricing.js",COMPLETE,P2,low,—,no action,No change,no,no,reusable now,—
PRC-002,Pricing,Price visibility control,Some customers see no prices,"hidePrices honoured through catalogue, cart and email",E1,"platform/server/api/src/emails.js:214 hidePrices,routes/catalog.js",COMPLETE,P2,low,—,no action,No change,no,no,reusable now,—
PRC-003,Pricing,Public price leakage,No price of any kind on the public site,"Prohibited by the serializer allowlist, the forbidden-key scanner, the rendered-HTML scan and the JSON-LD scan",E1,"public-forbidden-keys.js,test/public-serialize.test.js,web/test/public-render.test.ts,seo-controls.test.ts",COMPLETE,P0,low,—,no action,No change. Do not introduce public prices; the commercial model does not support them,no,no,reusable now,Four independent surfaces; still never verified against a real row (QA-006)
PRC-004,Pricing,Multi-currency,Customer currency with a stamped rate on the order,"users.currency, orders.currency + fx_rate, backorders.currency + fx_rate, invoices.currency",E1,"platform/server/api/src/migrate.js:81-84,100-101",COMPLETE,P2,low,—,no action,No change,no,no,reusable now,Historical order reproducibility is preserved by rate stamping
PRC-005,Pricing,FX rate source,Rates from a dated provider feed with an audit trail,"Manual rates in settings.data.fx with hard-coded defaults (CAD 1.37, EUR 0.92) cached ~60s",E1,"platform/server/api/src/currency.js:9,25-39",PARTIAL — IMPLEMENT BEFORE HANDOFF,P2,moderate,M,repository implementation,"Record who changed a rate and when, and require an explicit effective date. A provider feed is optional; an audit trail is not",yes,no,reusable after extraction,A stale manual rate silently misprices every order in that currency
PRC-006,Pricing,Tax / VAT representation,Tax handled or explicitly out of scope,"Absent. No tax column, no rate, no calculation anywhere",E4,targeted search of orders/invoices schema and pricing.js,REQUIRES BUSINESS INPUT,P1,high,L,business decision,"Confirm whether cross-border B2B invoices must show VAT/GST. If yes this is a substantial addition to orders, invoices and the ordering flow",yes,no,not applicable,A distributor shipping across borders normally needs this; its total absence is notable
PRC-007,Pricing,Who can change pricing,Price changes are least-privilege and audited,Any admin or warehouse login can rewrite pricing via the generic /admin/sync,E1,"platform/server/api/src/routes/admin.js:33,733,shape.js SIMPLE_COLLECTIONS",PARTIAL — IMPLEMENT BEFORE HANDOFF,P1,high,M,repository implementation,"Extend the capability model to commercial data, or at minimum exclude warehouse from pricing, promotions, invoices and payments in the sync gate (see SEC-002)",no,no,reusable after extraction,—
ORD-001,Ordering,Cart,Persistent cart with quantity validation,"cart_items and cart_drafts, stock-guarded quantities",E1,"platform/server/api/src/routes/cart.js,test/stock-guard.test.js",COMPLETE,P2,low,—,no action,No change,no,no,reusable now,—
ORD-002,Ordering,Order placement,Transactional order creation with stock reservation,place-order with planned reservations and a 409 shortage response,E1,"platform/server/api/src/routes/orders.js:85,inventory.js:138",COMPLETE,P1,low,—,no action,No change,no,no,reusable now,—
ORD-003,Ordering,Duplicate submission / idempotency,A retried submit must not create two orders,No idempotency key on place-order,E4,targeted search of routes/orders.js:85 for idempotency/Idempotency-Key,MISSING — IMPLEMENT BEFORE HANDOFF,P1,high,S,repository implementation,Accept a client-generated idempotency key on place-order and return the original result on replay. A double-tap on a slow connection currently creates two orders and two reservations,no,no,reusable now,—
ORD-004,Ordering,Order confirmation,Customer and staff notified on placement,orderConfirmation and staffOrderAlert emails sent,E1,"platform/server/api/src/emails.js:214,307,routes/orders.js:52",COMPLETE — RC VERIFICATION REQUIRED,P1,moderate,—,supervised deployment,SMTP must be configured and verified,no,yes,reusable after extraction,—
ORD-005,Ordering,Order history and detail,Customer sees own orders,get-user-orders and get-order-detail scoped to the caller,E1,"platform/server/api/src/routes/orders.js:482,499",COMPLETE,P2,low,—,no action,No change,no,no,reusable now,—
ORD-006,Ordering,Repeat / replenishment ordering,One-click reorder,repeat-order implemented,E1,platform/server/api/src/routes/orders.js:511,COMPLETE,P3,low,—,no action,No change,no,no,reusable after extraction,—
