control_id,origin,related_requirement_ids,control_summary,rationale,implementation,validation_method,blocks_merge,blocks_production,delivery_batch,status,notes
CTL-021,AUDIT_DERIVED,REQ-CM-001,Additive-only migration policy - no existing column altered renamed or dropped,Guarantees the portal admin panel and all twenty-seven existing tests keep working and makes rollback possible without a schema revert,New tables and new columns only across migrations 0007 onward,Existing test suite green plus a rollback rehearsal against the new schema,YES,YES,B2,PLANNED,Underpins the rollback plan
CTL-022,AUDIT_DERIVED,REQ-COL-014 REQ-COL-015 REQ-SEO-032 REQ-SEO-033 REQ-COL-026,Single indexing policy module returning robots canonical and sitemap disposition per path and query state,The specification defines the matrix but leaving it to per-template judgement guarantees drift across twenty-five routes,indexing.ts consumed by every route and by the sitemap generator,Table-driven test covering every documented state,YES,YES,B1,PLANNED,
CTL-023,AUDIT_DERIVED,REQ-SEO-006 REQ-SEO-008 REQ-DOD-002,Metadata builder that throws at build time when a required field is missing,Prevents an incomplete route from shipping with an empty title or canonical,seo.ts with required-field assertions,Build failure test with a deliberately incomplete route,YES,YES,B1,PLANNED,
CTL-024,AUDIT_DERIVED,REQ-SEO-019 REQ-SEO-020 REQ-SEO-021 REQ-SEO-022 REQ-SEO-023 REQ-SEO-024 REQ-SEO-025 REQ-SEO-026 REQ-SEO-027 REQ-SEO-028 REQ-SEO-029 REQ-GEO-025,Schema-to-DOM equality test for every JSON-LD block,The specification forbids schema describing hidden or false content but names no verification method,Parser comparing each emitted value against the rendered DOM,CI job per route,YES,YES,B7,PLANNED,
CTL-025,AUDIT_DERIVED,REQ-GEO-026,Schema type allowlist rejecting review and rating types,Structurally prevents marking anonymous marketing copy as reviews,Allowlist enforced in the schema builder,Unit test attempting to emit a disallowed type,YES,NO,B7,PLANNED,
CTL-026,AUDIT_DERIVED,REQ-CSF-012 REQ-QA-010,Redirect graph analysis for loops chains and destination concentration,The specification requires no loops chains or irrelevant homepage redirects but defines no threshold,Graph check plus a warning when more than twenty percent of rows target the root,CI job over the redirects table,YES,YES,B7,PLANNED,The twenty percent threshold is an engineering judgement not a source value
CTL-027,AUDIT_DERIVED,REQ-SEO-030 REQ-QA-005,Trailing-slash canonicalisation to one form enforced in middleware,The route set uses trailing slashes throughout but the specification does not state the rule,Middleware redirect to the canonical form,Redirect matrix test in both directions,YES,NO,B1,PLANNED,
CTL-028,AUDIT_DERIVED,REQ-DOC-005 REQ-CSF-021,Fail-closed startup assertion refusing to boot the web container in production without PUBLIC_SITE_ORIGIN and PORTAL_ORIGIN,Mirrors the existing API startServer pattern and prevents a deploy that silently emits wrong canonicals,Startup check in the web service entrypoint,Test asserting non-zero exit when either value is unset,YES,YES,B1,PLANNED,
CTL-029,AUDIT_DERIVED,REQ-DOC-005 REQ-CSF-004 REQ-CSF-021,No literal production or portal hostname anywhere in the codebase,Keeps both undecided domains configurable and prevents a hard-coded canonical surviving into production,All origins read from configuration,Source scan for candidate hostnames,YES,YES,B1,PLANNED,
CTL-030,AUDIT_DERIVED,REQ-EXEC-001 REQ-EXEC-011 REQ-DOC-001,Token-diff test asserting every ported token matches the literal in the existing storefront stylesheet,The specification requires the live design be preserved but a token layer can drift silently during a port,Test comparing tokens.css values against the documented source literals,CI job,YES,NO,B1,PLANNED,
CTL-031,AUDIT_DERIVED,REQ-EXEC-011,CSS lint rule rejecting colour literals outside the approved token set,Structurally prevents the wireframe orange and black treatment or any other accent entering the public palette,Stylelint rule,CI job,YES,NO,B1,PLANNED,
CTL-032,AUDIT_DERIVED,REQ-EXEC-002,Every new editorial module records its derivation from the documented extension rules in a source comment,The existing homepage already documents its design decisions; keeping that habit gives reviewers something to check against other than taste,Comment convention enforced at review,Design review checklist item,NO,NO,B3,PLANNED,
CTL-033,AUDIT_DERIVED,REQ-EXEC-012 REQ-DOD-001 REQ-QA-017,Screenshot visual-regression suite at six breakpoints against approved baselines,The specification requires a side-by-side review but names no tooling or baseline discipline,Playwright screenshots at 1440 1280 1024 900 768 and 375,CI job blocking on unapproved diffs,YES,YES,B9,PLANNED,Preserves the intent of old audit row REQ-EXEC-008
CTL-034,AUDIT_DERIVED,REQ-DOD-002 REQ-QA-001 REQ-QA-006,Route contract suite asserting status title description canonical H1 robots and heading order for all routes,Turns the definition-of-done statement into an executable gate,Playwright request-level suite,CI job,YES,YES,B9,PLANNED,
CTL-035,AUDIT_DERIVED,REQ-IA-022 REQ-COL-020 REQ-GEO-028 REQ-QA-007,Crawl suite executed with JavaScript disabled covering link validity redirects orphans and reachability,The specification requires crawlability but defines no crawl harness,Playwright crawler over the full route set,CI job,YES,YES,B9,PLANNED,
CTL-036,AUDIT_DERIVED,REQ-RAP-007 REQ-QA-018 REQ-QA-019 REQ-QA-020,Automated accessibility scan across every route and breakpoint plus a manual assistive-technology pass before cutover,WCAG 2.2 AA is the stated target but the specification defines no verification harness,axe-core in Playwright plus a signed manual matrix,CI job plus signed matrix,YES,YES,B9,PLANNED,
CTL-037,AUDIT_DERIVED,REQ-RAP-009 REQ-GC-003,Focus-ring design tokens added to a system that currently has no focus-visible style at all,The existing editorial system relies on the user-agent default which on an ivory canvas is very likely to fail focus visibility,--focus-ring and --focus-ring-dark tokens applied to every interactive element,Automated focus-visibility check plus contrast measurement,YES,YES,B1,PLANNED,Confirmed gap in the current design not a specification omission
CTL-038,AUDIT_DERIVED,REQ-RAP-013,Global prefers-reduced-motion guard plus a visible pause control on autoplaying media,The current homepage video autoplays with no media query and no control,Media query disabling transitions and pausing media plus a pause affordance,Reduced-motion simulation test,YES,YES,B1,PLANNED,Confirmed gap in the current design
CTL-039,AUDIT_DERIVED,REQ-RAP-010,Contrast measurement of every token pair in use before the visual baseline is accepted,The faint ink token at 10.5px is the most likely AA failure in the ported palette,Automated contrast check over the token matrix,CI job,YES,YES,B1,PLANNED,
CTL-040,AUDIT_DERIVED,REQ-RAP-016,Decide and fix the display serif - keep the platform-dependent local stack or self-host one licensed face,A platform-dependent display face cannot have a stable visual-regression baseline,Font decision recorded then implemented in the token layer,Baseline acceptance blocked until the decision is applied,YES,NO,B1,PLANNED,Self-hosting recommended
CTL-041,AUDIT_DERIVED,REQ-SEO-039 REQ-SEO-040 REQ-SEO-041 REQ-DOD-009 REQ-QA-022,Lighthouse regression gate with explicit budgets plus field measurement wiring,The specification sets targets and requires field data but defines no lab gate,Lighthouse CI budgets per route,CI job,YES,YES,B9,PLANNED,
CTL-042,AUDIT_DERIVED,REQ-RAP-015,JavaScript bundle-size budget per route,Islands architecture makes the budget meaningful and prevents silent regression toward a heavy client bundle,Budget assertion in CI,CI job,YES,NO,B9,PLANNED,
CTL-043,AUDIT_DERIVED,REQ-SEO-012 REQ-SEO-013,Sitemap byte-identity test across a rebuild with no content change,Proves lastmod discipline mechanically rather than by inspection,Build twice and compare output,CI job,YES,NO,B7,PLANNED,
CTL-044,AUDIT_DERIVED,REQ-DOD-007 REQ-FRM-006 REQ-QA-024,Form abuse and fault-injection suite covering spam rate limiting duplicate submission and delivery outage,The specification requires these to pass but defines no harness,Playwright plus injected adapter failures,CI job,YES,YES,B9,PLANNED,
CTL-045,AUDIT_DERIVED,REQ-FRM-004,Public forms must function with JavaScript disabled before any client enhancement is added,Guarantees lead capture survives script failure and satisfies the accessibility requirement structurally,Server-handled POST with progressive enhancement,Submission test with scripting disabled,YES,YES,B6,PLANNED,
CTL-046,AUDIT_DERIVED,REQ-BRX-009 REQ-BRD-010 REQ-BRD-018 REQ-HOME-010,Duplicate-copy detection across brand and model records,The specification forbids cloned copy but names no detector,Similarity check over published summaries stories and descriptions,CI job reporting near-duplicates,YES,NO,B4,PLANNED,
CTL-047,AUDIT_DERIVED,REQ-CM-011 REQ-COL-003,Shape backfill coverage threshold with an explicit ship-without-the-facet fallback,Shape data does not exist anywhere in the schema; wrong shape data on roughly thirteen hundred indexed pages is worse than a missing facet,Coverage report plus a decision gate before the facet is enabled,Coverage report reviewed at the B4 gate,NO,NO,B4,PLANNED,Logged rather than silently truncated
CTL-048,AUDIT_DERIVED,REQ-CM-010,Slug generation and uniqueness verification across all catalogue records before publication,Canonical model routes cannot exist without URL-safe unique slugs and none exist today,Generation script plus a uniqueness and URL-safety assertion,Migration test over the full catalogue,YES,YES,B2,PLANNED,
CTL-049,OPERATIONS_DERIVED,REQ-DOD-004 REQ-QA-005,Rollback rehearsal proving the previous Caddy layout can be restored in under ten minutes,No source requirement covers rollback; the cutover changes the catch-all that currently serves the portal,Snapshot of the working Caddyfile and compose file plus a timed restore drill,Timed rehearsal recorded before cutover,NO,YES,B10,PLANNED,
CTL-050,OPERATIONS_DERIVED,REQ-OUT-007,Sixty-second in-process cache on public catalogue reads mirroring the existing API pattern,The current catalogue shaping costs about one second per uncached request; public traffic must not scale load with page views,Cache keyed by query with invalidation on admin edit and Zoho sync,Load test plus cache-invalidation test,NO,NO,B2,PLANNED,Reuses the proven _catalogRows and _shapedCache approach
CTL-051,OPERATIONS_DERIVED,REQ-COL-005,Public page failure policy - never render a partial commercial claim,If a claim cannot resolve its policy record the claim is omitted rather than shown unqualified,Template-level guard on every claim component,Fault-injection test with policy lookup disabled,YES,YES,B3,PLANNED,
CTL-052,AUDIT_DERIVED,REQ-EXEC-008,Design freeze baseline archived with capture date and commit hash before any code change,The specification requires the capture but not its provenance; without a hash the baseline cannot be trusted later,Screenshots stored under the documentation tree with metadata,Artefact review at the B0 gate,NO,NO,B0,PLANNED,
CTL-053,AUDIT_DERIVED,REQ-CSF-011,Server-log 404 monitoring converted into redirect rows during the first ninety days,The legacy URL inventory may arrive incomplete; real traffic is the most reliable source of missing redirects,Log analysis feeding the data-driven redirects table with no deploy required,Ninety-day review,NO,NO,B11,PLANNED,Mitigates the risk that the legacy export is late or partial
CTL-054,AUDIT_DERIVED,REQ-EXEC-003,New public application built in a separate directory rather than by refactoring the existing storefront,Two existing tests assert against the real storefront source on disk and one is an inverted guard protecting a retired homepage module,Public site lives in its own service with its own test suite; some token and markup duplication is accepted,Existing twenty-seven tests remain green,YES,YES,B1,PLANNED,Accepted duplication is deliberate
CTL-055,AUDIT_DERIVED,REQ-SEO-010,Remove the stale CNAME artefact at cutover,A repository CNAME file naming one of the two candidate domains is inert today but is a duplicate-domain hazard and misleads newcomers,Deleted as part of the cutover change set,Cutover checklist item,NO,NO,B10,PLANNED,Deliberately not changed during the read-only audit phases
CTL-056,AUDIT_DERIVED,REQ-GC-021 REQ-SEO-038,Media rights and expiry as required fields on any asset used publicly,The specification lists rights and expiry as content-model fields but does not gate publication on them,Required columns on the media table with publication blocked when unset for public assets,Publication gate test,YES,NO,B2,PLANNED,
CTL-057,AUDIT_DERIVED,REQ-IA-021,Mobile navigation authored as a new editorial pattern rather than reusing the portal drawer,The current header shrinks rather than collapsing and cannot hold seven primary plus three utility items on a phone,Full-height ivory overlay with focus trap and inert background,Accessibility and responsive tests at 375 and 414,YES,NO,B1,PLANNED,No source requirement specifies the pattern only the outcome
