requirement_id,source_section,source_locator,source_summary,requirement_type,priority,current_status,proposed_implementation,target_component_or_service,data_or_content_dependency,placeholder_policy,production_blocker,acceptance_or_test_method,delivery_batch,notes
REQ-EXEC-006,2.1 Source-of-truth hierarchy,Section 2.1; list item 4,Approved brand assets and fact sheets govern product; material; manufacturing; warranty; shipping and geographic claims,SOURCE_REQUIREMENT,P0,MISSING,Claims render only from approved records with a named approver,Content model,Approved fact sheets,OMIT_UNTIL_APPROVED,NO,Publication gate blocks an unapproved claim,B2,Omission is permitted so absence does not block release
REQ-EXEC-007,2.1 Source-of-truth hierarchy,Section 2.1; list item 5,The public site only previews authenticated pricing; availability; ordering and account features,SOURCE_REQUIREMENT,P0,PARTIAL,Public site carries discovery and preview only; all commerce stays in the portal,Public web app,None,NONE,YES,Route inventory shows no public commerce function,B4,Blocking - failure means exposing commercial function publicly
REQ-EXEC-008,2.2 Pre-build design freeze,Section 2.2; list item 1,Capture desktop and mobile screenshots of every current public route before modifying the codebase,SOURCE_REQUIREMENT,P0,MISSING,Baseline capture at six widths archived with commit hash,QA tooling,Access to the live site,NONE,NO,Baseline artefact exists and is reviewed before any code change,B0,
REQ-EXEC-009,2.2 Pre-build design freeze,Section 2.2; list item 2,Inventory current design tokens: fonts; type scale; colours; gradients; spacing; grid; breakpoints; radius; shadows; animation timings and icon style,SOURCE_REQUIREMENT,P0,COMPLETE,Delivered as 02_VISUAL_SYSTEM_INVENTORY,Documentation,None,NONE,NO,Every value traces to a repository literal,B0,Completed in Phase 0
REQ-EXEC-010,2.2 Pre-build design freeze,Section 2.2; list item 3,Inventory existing components and map each wireframe module to an existing component; an extension or a new component,SOURCE_REQUIREMENT,P0,COMPLETE,Delivered as 02_VISUAL_SYSTEM_INVENTORY sections 5 and 7,Documentation,None,NONE,NO,Every specification module appears in the component map,B0,Completed in Phase 0
REQ-EXEC-011,2.2 Pre-build design freeze,Section 2.2; list item 4,Do not introduce the wireframe orange/black utilitarian visual treatment,SOURCE_REQUIREMENT,P0,COMPLETE,Palette locked to four warm neutrals plus two blacks,Design token layer,None,NONE,NO,Visual review; no saturated colour in the public token set,B1,
REQ-EXEC-012,2.2 Pre-build design freeze,Section 2.2; list item 5,Keep a side-by-side visual regression review for all templates at desktop; tablet and mobile widths,SOURCE_REQUIREMENT,P0,MISSING,Screenshot comparison per template per breakpoint,QA tooling,Approved baselines,NONE,NO,Visual regression review signed before cutover,B9,Blocking - release-critical review of the protected design. Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-CSF-001,4 Current-state findings,Section 4; introductory paragraph,Validate every finding in Search Console; Bing Webmaster Tools; hosting configuration and the production repository before launch,SOURCE_REQUIREMENT,P0,MISSING,First-party verification task in the decision batch,Process,GSC and Bing access,NONE,YES,Verification record produced before cutover,B0,Findings are inherited and unverified by this audit
REQ-CSF-002,4.1 Critical findings,Section 4.1; table 'Critical findings'; row 'Hash-based routing' (P0),Replace hash routing with clean path-based routes using the History API and SSR/SSG,SOURCE_REQUIREMENT,P0,MISSING,Astro server-mode file routing; every route a real path,Public web app,None,NONE,NO,Direct request to each route returns 200 with full HTML,B1,Stated priority P0 in source. Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-CSF-003,4.1 Critical findings,Section 4.1; table 'Critical findings'; row 'Crawler-visible HTML' (P0),Each route must return meaningful HTML; metadata; H1 and primary copy before client hydration,SOURCE_REQUIREMENT,P0,MISSING,Server rendering; islands only for filters gallery menu and forms,Public web app,Content model,NONE,NO,curl of each route contains H1 title description canonical and primary copy,B1,Stated priority P0 in source. Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-CSF-004,4.1 Critical findings,Section 4.1; table 'Critical findings'; row 'Duplicate domains' (P0),Select one canonical production domain and redirect or protect the other,SOURCE_REQUIREMENT,P0,MISSING,Canonical host redirect at Caddy; alternate 301,Caddy + config,DECISION-01,CONFIGURABLE,NO,Crawl shows one indexable host; alternate returns 301,B10,Stated priority P0 in source. Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-CSF-005,4.1 Critical findings,Section 4.1; table 'Critical findings'; row 'Legacy 404s' (P0),Build a verified redirect map before launch for legacy URLs still surfacing in search,SOURCE_REQUIREMENT,P0,MISSING,Data-driven redirects table plus middleware,Redirect service,Legacy URL export,NONE,YES,Automated crawl of the legacy list returns zero 404s,B7,Stated priority P0 in source
REQ-CSF-006,4.1 Critical findings,Section 4.1; table 'Critical findings'; row 'Navigation gap' (P0),Global Presence must be a real page or be removed from navigation; a dead or anchor-only primary item is not acceptable,SOURCE_REQUIREMENT,P0,MISSING,Build /global-presence/ as a first-class indexable route,Global Presence template,None,NEUTRAL_WORDING,YES,Route returns 200 and is linked from primary navigation,B3,Blocking - a dead primary nav item is a broken core route
REQ-CSF-007,4.1 Critical findings,Section 4.1; table 'Critical findings'; row 'Brand-count ambiguity' (P1),Confirm whether Essedue and Kyme are separate brands; whether Extreme Next is in scope and the approved public brand count,SOURCE_REQUIREMENT,P1,MISSING,Brand records with publication state; count derived from published records,Brand entity,DECISION-03,CONFIGURABLE,NO,Count derives from one query used by every surface,B2,Rulings 7 and 8 - data-configurable so not blocking
REQ-CSF-008,4.1 Critical findings,Section 4.1; table 'Critical findings'; row 'Model-detail gap' (P1),Add an indexable public model page template behind every View Details action,SOURCE_REQUIREMENT,P1,MISSING,/collections/{brand}/{model-sku}/ server-rendered template,Model detail template,Model publication state,NONE,YES,Every model card link resolves to a 200 canonical URL,B4,Blocking - otherwise catalogue links lead nowhere indexable
REQ-CSF-009,4.1 Critical findings,Section 4.1; table 'Critical findings'; row 'Thin GEO footprint' (P1),Add expert-led guides and factual brand/model pages so search and AI systems have citable material,SOURCE_REQUIREMENT,P1,MISSING,Resource hub plus article template plus content collection,Resources templates,Original content,OMIT_UNTIL_APPROVED,NO,Hub publishes with whatever approved articles exist,B5,Content volume does not block release
REQ-CSF-010,4.2 Domain decision,Section 4.2; callout table 'RECOMMENDATION: USE VEYORA.COM',Keep the non-production domain password-protected or noindex during development then 301 it after approval,SOURCE_REQUIREMENT,P0,MISSING,Basic auth plus X-Robots-Tag noindex on the RC host,Caddy,DECISION-01,CONFIGURABLE,YES,RC host returns 401 or noindex; production returns 200,B10,
REQ-CSF-011,4.3 Legacy migration,Section 4.3; list item 1,Export every indexed and linked legacy URL from Search Console; Bing; analytics; the old CMS and backlink tools,SOURCE_REQUIREMENT,P0,MISSING,Veyora-side export consolidated into a redirect source file,Process,GSC and Bing access,NONE,YES,Signed-off legacy URL inventory exists before cutover,B0,
REQ-CSF-012,4.3 Legacy migration,Section 4.3; list item 2,Map each valuable legacy URL one-to-one to its closest new equivalent; avoid sending every old URL to the homepage,SOURCE_REQUIREMENT,P0,MISSING,Reviewed redirect map with a per-row rationale,Redirect service,Legacy inventory,NONE,YES,Manual review plus destination-diversity check,B7,
REQ-CSF-013,4.3 Legacy migration,Section 4.3; list item 3,Implement and validate the five named minimum redirects including legacy product paths,SOURCE_REQUIREMENT,P0,MISSING,Seed rows in the redirects table,Redirect service,Legacy product slug to model SKU mapping,NONE,YES,Each named redirect returns 301 to the stated target,B7,
REQ-CSF-014,4.3 Legacy migration,Section 4.3; list item 4,Return 410 only where a removed URL has no meaningful replacement; preserve useful discontinued model pages with an unavailable notice and alternatives,SOURCE_REQUIREMENT,P1,MISSING,410 disposition supported in the redirects table; discontinued state on the model entity,Redirect service + Model detail,Discontinued flags,NONE,NO,Fixture tests for both dispositions,B7,
REQ-CSF-015,4.3 Legacy migration,Section 4.3; list item 5,Keep 301 redirects for at least one year and preferably indefinitely for durable product and brand URLs,SOURCE_REQUIREMENT,P1,MISSING,Redirect rows are permanent data with no expiry job,Redirect service,None,NONE,NO,Redirect table has no TTL and is covered by backup,B7,
REQ-CSF-016,4.4 Content decisions,Section 4.4; list item 1,Confirm the exact public brand list and whether Essedue and Kyme receive separate brand pages,SOURCE_REQUIREMENT,P1,MISSING,Publication flags per brand record,Brand entity,DECISION-03,CONFIGURABLE,NO,Brand routes generated from published records,B2,Ruling 8 - data-configurable
REQ-CSF-017,4.4 Content decisions,Section 4.4; list item 2,Confirm whether Extreme Next is a brand; sub-brand or collection and whether it belongs in this release,SOURCE_REQUIREMENT,P1,MISSING,Unpublished by default until approved,Brand entity,DECISION-04,CONFIGURABLE,NO,Record absent from published output unless flagged,B2,Ruling 9 - defaults to unpublished
REQ-CSF-018,4.4 Content decisions,Section 4.4; list item 3,Approve every quantitative claim including brand count; retailer reach; hub count; shipping speed; exchange period and warranty period with scope and exceptions,SOURCE_REQUIREMENT,P0,MISSING,Unapproved quantitative claims are omitted rather than shown,Content register,Veyora approvals,OMIT_UNTIL_APPROVED,NO,No unapproved quantitative claim renders,B8,Ruling 13 - omission permitted so not blocking
REQ-CSF-019,4.4 Content decisions,Section 4.4; list item 4,Confirm legal company name; headquarters address; service phone; sales email; support hours and approved social profiles,SOURCE_REQUIREMENT,P0,MISSING,Organisation record; optional fields omitted until approved,Organisation record,DECISION-10,BLOCKING_APPROVAL,YES,Legal company name present in footer and Organization schema,B8,Only the legal entity name is blocking; phone email hours and social may be omitted
REQ-CSF-020,4.4 Content decisions,Section 4.4; list item 5,Confirm whether public pages may state manufacturing countries; material compositions and component origins and at what level,SOURCE_REQUIREMENT,P0,MISSING,Separate origin fields with verification status; unverified values never render,Brand and model entities,DECISION-11,OMIT_UNTIL_APPROVED,NO,Publication gate blocks an unsourced origin or material claim,B2,Ruling 13 - unsupported origin claims are omitted
REQ-CSF-021,4.4 Content decisions,Section 4.4; list item 6,Confirm the final portal URL and whether B2B login opens on the same domain or an external authenticated application,SOURCE_REQUIREMENT,P0,MISSING,PORTAL_ORIGIN configuration consumed by every login control,Config + header/footer,DECISION-02,CONFIGURABLE,YES,No hard-coded portal URL; login handoff verified at cutover,B10,Blocking at cutover because portal continuity depends on it
REQ-OUT-001,5.1 Positioning statement,Section 5.1; callout table 'PUBLIC ENTITY DEFINITION',Publish one plain-language public entity definition of Veyora as a B2B eyewear distribution partner,SOURCE_REQUIREMENT,P0,MISSING,One sourced definition rendered on home; why-veyora and Organization schema,Organisation record,Approved wording,BLOCKING_APPROVAL,NO,Same string appears in all three places by construction,B3,Wording can start from the specification text
REQ-OUT-002,5.1 Positioning statement,Section 5.1; callout table 'PUBLIC ENTITY DEFINITION',All geographic; delivery; exchange and warranty details must reflect approved policies and visible qualifications,SOURCE_REQUIREMENT,P0,MISSING,Claim components require a linked policy record or they do not render,Policy entity,Approved policies,OMIT_UNTIL_APPROVED,YES,No claim renders without its qualification or policy link,B2,Blocking - publishing an unqualified claim would be false
REQ-OUT-003,5.2 Primary audiences,Section 5.2; table 'Primary audiences'; all rows,Serve six defined audience segments each with the stated primary conversion,SOURCE_REQUIREMENT,P1,MISSING,Audience modules and CTA routing per segment,Marketing templates,Approved audience copy,OMIT_UNTIL_APPROVED,NO,Content review that each segment has a stated path,B3,Six table rows merged - one requirement with six defined segments
REQ-OUT-004,5.3 Business goals,Section 5.3; list item 1,Optimise for qualified B2B account applications rather than generic consumer traffic,SOURCE_REQUIREMENT,P1,MISSING,Conversion hierarchy applied consistently; no consumer commerce affordances,IA + CTA system,None,NONE,NO,Review of CTA placement on every template,B3,
REQ-OUT-005,5.3 Business goals,Section 5.3; list item 2,Increase sales-contact conversions for groups; chains and private-label opportunities,SOURCE_REQUIREMENT,P1,MISSING,Contact and private-label enquiry paths with distinct events,Form service,None,NONE,NO,Analytics event coverage per intent,B6,
REQ-OUT-006,5.3 Business goals,Section 5.3; list item 3,Make Veyora and each brand discoverable by category; retailer need; geography; model and verified technical attributes,SOURCE_REQUIREMENT,P1,MISSING,Brand model and category routes with structured attributes,Catalogue templates,Model attribute data,OMIT_UNTIL_APPROVED,NO,Route inventory and attribute coverage report,B4,
REQ-OUT-007,5.3 Business goals,Section 5.3; list item 4,Create a public product-discovery layer while reserving pricing; real-time inventory and ordering for authenticated accounts,SOURCE_REQUIREMENT,P0,PARTIAL,Public serializer with an explicit allowlist; portal keeps all commerce,Public data surface,None,NONE,YES,Forbidden-key scan of every public output surface,B2,Existing guest catalogue already suppresses price and stock depth
REQ-OUT-008,5.3 Business goals,Section 5.3; list item 5,Build a content base citable by AI search experiences without relying on special GEO hacks,SOURCE_REQUIREMENT,P1,MISSING,Answer-first sections plus sourced facts plus structured data,Resources + templates,Original content,OMIT_UNTIL_APPROVED,NO,GEO page-pattern checklist per template,B5,
REQ-OUT-009,5.3 Business goals,Section 5.3; list item 6,Reduce sales friction by answering service; warranty; replenishment; private-label and onboarding questions before a form,SOURCE_REQUIREMENT,P1,MISSING,Service Model FAQ plus policy routes plus ordering guide,Service + policy templates,Approved policy answers,OMIT_UNTIL_APPROVED,NO,Content review,B5,
REQ-OUT-010,5.4 Conversion hierarchy,Section 5.4; list item 1,Request a B2B Account is the default primary CTA for independent retailers and ecommerce buyers,SOURCE_REQUIREMENT,P0,MISSING,Primary button style reserved for this action,CTA system,None,NONE,NO,Template review plus analytics event coverage,B3,
REQ-OUT-011,5.4 Conversion hierarchy,Section 5.4; list item 2,Contact Sales is the secondary CTA for questions; groups; chains and complex opportunities,SOURCE_REQUIREMENT,P0,MISSING,Text-link or ghost treatment beside the primary,CTA system,None,NONE,NO,Template review,B3,
REQ-OUT-012,5.4 Conversion hierarchy,Section 5.4; list item 3,Discuss Private Label is the primary CTA on the private-label page and related resources,SOURCE_REQUIREMENT,P1,MISSING,Intent-specific CTA and enquiry route,Private Label template,None,NONE,NO,Template review,B3,
REQ-OUT-013,5.4 Conversion hierarchy,Section 5.4; list item 4,B2B Login is a persistent utility action and must never compete visually with acquisition CTAs,SOURCE_REQUIREMENT,P0,MISSING,Bordered nav control at label scale; never the filled primary,Header,DECISION-02,CONFIGURABLE,NO,Rule that login never uses the primary button class,B1,
REQ-OUT-014,5.4 Conversion hierarchy,Section 5.4; list item 5,Explore Brands and View Details must lead to indexable public pages not only modals,SOURCE_REQUIREMENT,P0,MISSING,Real anchors to brand and model routes,Brand and model templates,Publication state,NONE,YES,Crawl test that every card link is an href resolving to 200,B4,
REQ-IA-001,6 IA and URL plan,Section 6; introductory paragraph,All public content must use clean; descriptive; lowercase URLs with hyphens and no hash fragments,SOURCE_REQUIREMENT,P0,MISSING,Slug generation enforced lowercase kebab; route table is the contract,Routing,Canonical slugs,NONE,NO,Route contract test rejecting uppercase underscores or fragments,B1,Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-IA-002,6 IA and URL plan,Section 6; table 'routes'; row 'Home',Home at / is indexable and presents wholesale eyewear distribution,SOURCE_REQUIREMENT,P0,MISSING,Server-rendered home route,Home template,Brand records,OMIT_UNTIL_APPROVED,YES,Route returns 200 with unique metadata,B3,
REQ-IA-003,6 IA and URL plan,Section 6; table 'routes'; row 'Why Veyora',Why Veyora at /why-veyora/ is indexable and covers company; mission; model and trust,SOURCE_REQUIREMENT,P0,MISSING,Prerendered route,Why Veyora template,Approved copy,OMIT_UNTIL_APPROVED,YES,Route returns 200 with unique metadata,B3,
REQ-IA-004,6 IA and URL plan,Section 6; table 'routes'; row 'Brands',Brands at /brands/ is indexable and supports portfolio discovery and comparison,SOURCE_REQUIREMENT,P0,MISSING,Server-rendered route,Brands index,Brand records,OMIT_UNTIL_APPROVED,YES,Route returns 200 with unique metadata,B4,
REQ-IA-005,6 IA and URL plan,Section 6; table 'routes'; row 'Collections',Collections at /collections/ is indexable and provides the public catalogue and filtering,SOURCE_REQUIREMENT,P0,MISSING,Server-rendered route with URL filter state,Collections index,Model records,NONE,YES,Route returns 200 with first result page in server HTML,B4,
REQ-IA-006,6 IA and URL plan,Section 6; table 'routes'; row 'Service Model',Service Model at /service-model/ is indexable and covers distribution service; warranty and portal,SOURCE_REQUIREMENT,P0,MISSING,Prerendered route,Service Model template,Policy records,OMIT_UNTIL_APPROVED,YES,Route returns 200 with unique metadata,B3,
REQ-IA-007,6 IA and URL plan,Section 6; table 'routes'; row 'Private Label',Private Label at /private-label/ is indexable and covers private-label eyewear programs,SOURCE_REQUIREMENT,P0,MISSING,Prerendered route,Private Label template,Approved copy,OMIT_UNTIL_APPROVED,YES,Route returns 200 with unique metadata,B3,
REQ-IA-008,6 IA and URL plan,Section 6; table 'routes'; row 'Global Presence',Global Presence at /global-presence/ is indexable and covers the distribution footprint,SOURCE_REQUIREMENT,P0,MISSING,Prerendered route,Global Presence template,Location records,NEUTRAL_WORDING,YES,Route returns 200 with unique metadata,B3,
REQ-IA-009,6 IA and URL plan,Section 6; table 'routes'; row 'Resources' (marked P1),Resources at /resources/ is indexable and supports retailer education and expertise,SOURCE_REQUIREMENT,P1,MISSING,Prerendered hub,Resources hub,Original content,OMIT_UNTIL_APPROVED,NO,Route returns 200,B5,Source marks this route P1
REQ-IA-010,6 IA and URL plan,Section 6; table 'routes'; row 'Contact Sales',Contact Sales at /contact/ is indexable and captures sales enquiries,SOURCE_REQUIREMENT,P0,MISSING,Prerendered route with server-handled form,Contact template,Consent wording,BLOCKING_APPROVAL,YES,Route returns 200 and submission persists,B6,
REQ-IA-011,6 IA and URL plan,Section 6; table 'routes'; row 'Request B2B',Request B2B at /request-b2b-account/ is indexable and captures B2B applications,SOURCE_REQUIREMENT,P0,MISSING,Prerendered route with server-handled form,Request B2B template,Consent wording,BLOCKING_APPROVAL,YES,Route returns 200 and submission persists,B6,
REQ-IA-012,6 IA and URL plan,Section 6; table 'routes'; row 'B2B Login',B2B Login points at the approved portal URL and is noindex if it sits on a public app route,SOURCE_REQUIREMENT,P0,MISSING,External link only; no public login route created,Header/footer,DECISION-02,CONFIGURABLE,YES,No login route appears in the public sitemap,B1,
REQ-IA-013,6 IA and URL plan,Section 6; table 'routes'; row 'Search',Internal search at /search/ is noindex follow,SOURCE_REQUIREMENT,P1,MISSING,Search route with robots noindex follow,Search template,Search index,NONE,NO,Meta asserts noindex follow; absent from sitemap,B5,
REQ-IA-014,6.1 Brand and model routes,Section 6.1; table 'Brand and model route pattern'; rows Spike Charlett Puro Laura Ferre Liv London Liv London Kids Extreme (all marked Required),Create brand routes at /brands/{slug}/ for the seven brands marked Required,SOURCE_REQUIREMENT,P0,MISSING,Routes generated from published brand records,Brand detail template,Brand copy,OMIT_UNTIL_APPROVED,YES,A route exists and returns 200 for each published required brand,B4,Seven identical Required rows merged into one requirement
REQ-IA-015,6.1 Brand and model routes,Section 6.1; table 'Brand and model route pattern'; rows Essedue and Kyme (Recommended separate page),Give Essedue and Kyme separate brand routes,SOURCE_REQUIREMENT,P1,MISSING,Publication flags allow either shape,Brand entity,DECISION-03,CONFIGURABLE,NO,Separate routes exist when the records are published,B4,Two identical Recommended rows merged; ruling 8
REQ-IA-016,6.1 Brand and model routes,Section 6.1; table 'Brand and model route pattern'; row 'Extreme Next',Create /brands/extreme-next/ only if approved for scope,SOURCE_REQUIREMENT,P2,MISSING,Unpublished by default,Brand entity,DECISION-04,CONFIGURABLE,NO,Record absent unless explicitly published,B4,Ruling 9
REQ-IA-017,6.1 Brand and model routes,Section 6.1; table 'Brand and model route pattern'; row 'Model detail',Model detail uses /collections/{brand}/{model-sku}/ with one public URL per model not per colour,SOURCE_REQUIREMENT,P0,MISSING,Colour selection is client state on one canonical URL,Model detail template,Canonical slug per model,NONE,YES,Colour selection changes no URL path and emits no alternate canonical,B4,
REQ-IA-018,6.2 Navigation,Section 6.2; paragraph 1,Primary navigation is Why Veyora; Brands; Collections; Service Model; Private Label; Global Presence; Contact,SOURCE_REQUIREMENT,P0,MISSING,Header navigation from one navigation config,Header,None,NONE,NO,Snapshot test of navigation items and destinations,B1,
REQ-IA-019,6.2 Navigation,Section 6.2; paragraph 2,Utility actions are B2B Login; Contact Sales; Request B2B Account,SOURCE_REQUIREMENT,P0,MISSING,Utility cluster in the header,Header,DECISION-02,CONFIGURABLE,NO,Snapshot test,B1,
REQ-IA-020,6.2 Navigation,Section 6.2; paragraph 3,Footer-only or secondary items are Resources; ordering guide; shipping; warranty and exchanges; accessibility; privacy; terms; HTML sitemap; social profiles,SOURCE_REQUIREMENT,P0,MISSING,Four-column footer plus legal row,Footer,Policy routes exist,OMIT_UNTIL_APPROVED,NO,No footer link returns non-200 or targets the current page,B1,Social profiles may be omitted per ruling 13
REQ-IA-021,6.2 Navigation,Section 6.2; paragraph 4,Mobile uses the same information architecture with Request B2B Account and B2B Login visible without obscuring content,SOURCE_REQUIREMENT,P0,MISSING,Editorial full-height menu overlay with persistent utility actions,Mobile navigation,None,NONE,YES,Responsive and accessibility test at 375 and 414,B1,
REQ-IA-022,6.3 Route and indexing rules,Section 6.3; list item 1,Every navigation and card link must be a real HTML anchor followable without a click handler,SOURCE_REQUIREMENT,P0,MISSING,Anchors everywhere; JavaScript as enhancement only,All templates,None,NONE,YES,Crawl with JavaScript disabled reaches every route,B1,
REQ-IA-023,6.3 Route and indexing rules,Section 6.3; list item 2,Do not use fragments to represent pages; catalogue pagination; filters or tabs,SOURCE_REQUIREMENT,P0,MISSING,Query parameters for state; paths for pages,Routing,None,NONE,YES,Route contract test,B1,
REQ-IA-024,6.3 Route and indexing rules,Section 6.3; list item 3,Use query parameters for user-selected filters and sorting then apply the faceted-indexing policy,SOURCE_REQUIREMENT,P0,MISSING,URL-driven filter state with shareable links,Collections template,None,NONE,NO,Filter change updates the URL; deep link restores state,B4,Requirement retained; production blocker carried by the non-duplicate row covering the same failure mode
REQ-IA-025,6.3 Route and indexing rules,Section 6.3; list item 4,Use one model page with selectable colour variants; do not create near-duplicate indexable URLs per colour,SOURCE_REQUIREMENT,P0,MISSING,Single canonical model URL,Model detail,Canonical slugs,NONE,YES,URL invariance test across colour selection,B4,
REQ-IA-026,6.3 Route and indexing rules,Section 6.3; list item 5,Breadcrumbs are required on every page below the first navigation level and must match the URL hierarchy,SOURCE_REQUIREMENT,P0,MISSING,Breadcrumb component derived from the route tree,Breadcrumb component,None,NONE,NO,Visible breadcrumb equals BreadcrumbList equals URL path,B1,
REQ-IA-027,6.3 Route and indexing rules,Section 6.3; list item 6,The portal; account settings; carts; internal search results and duplicate parameter states must not enter the XML sitemap,SOURCE_REQUIREMENT,P0,MISSING,Sitemap generated only from published canonical records,Sitemap service,Publication state,NONE,NO,Sitemap test asserting excluded patterns are absent,B7,
REQ-GC-001,7.1 Header,Section 7.1; list item 1,Preserve the live header treatment; typography; logo behaviour; motion and responsive adaptation,SOURCE_REQUIREMENT,P0,PARTIAL,Extend the sticky blurred ivory bar,Header,None,NONE,NO,Visual regression against baseline,B1,
REQ-GC-002,7.1 Header,Section 7.1; list item 2,Implement the full primary navigation and the three utility actions,SOURCE_REQUIREMENT,P0,MISSING,Navigation config drives both clusters,Header,DECISION-02,CONFIGURABLE,NO,Snapshot test,B1,
REQ-GC-003,7.1 Header,Section 7.1; list item 3,Show an active state for the current section and an accessible focus state for keyboard users,SOURCE_REQUIREMENT,P0,MISSING,aria-current plus a designed focus ring token,Header,None,NONE,YES,Keyboard walkthrough plus automated focus-visibility check,B1,Blocking - focus visibility is a core-journey accessibility failure
REQ-GC-004,7.1 Header,Section 7.1; list item 4,Use a sticky header only if already part of the approved design and ensure it does not cover anchored headings or consume excessive mobile space,SOURCE_REQUIREMENT,P0,COMPLETE,Keep sticky; add scroll-margin-top to headings,Header,None,NONE,NO,Anchor-jump test at 375 and 1440,B1,Sticky header already exists in the approved design
REQ-GC-005,7.1 Header,Section 7.1; list item 5,B2B Login may open the portal but Contact Sales and Request B2B Account must use the public routes,SOURCE_REQUIREMENT,P0,MISSING,Config-driven login; public routes for both forms,Header,DECISION-02,CONFIGURABLE,NO,Link destination test,B1,
REQ-GC-006,7.2 Footer,Section 7.2; list item 1,Footer column 1 carries the Veyora entity summary and approved service footprint,SOURCE_REQUIREMENT,P0,MISSING,Footer column from the organisation record,Footer,Approved footprint wording,NEUTRAL_WORDING,NO,Content review,B1,
REQ-GC-007,7.2 Footer,Section 7.2; list item 2,Footer column 2 carries Why Veyora; Brands; Collections; Service Model; Private Label and Global Presence,SOURCE_REQUIREMENT,P0,MISSING,Navigation config,Footer,None,NONE,NO,Snapshot test,B1,
